,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
0,0,297.5,308.6,1793,26.7,70,0
1,0,300.7,310.5,1536,47.4,192,0
2,0,297.2,308.4,1460,42.1,41,0
3,0,299.4,309.1,1670,35.9,68,0
4,0,304.1,313.1,1550,30.9,9,0
5,0,298.2,308.4,1477,49.9,72,0
6,0,299.3,309.0,1422,47.3,25,0
7,0,301.3,310.5,1390,45.8,63,0
8,0,301.5,310.9,1891,23.2,122,0
9,0,303.5,311.9,1493,38.7,14,0
10,0,301.2,311.4,1757,28.0,6,0
11,1,297.1,308.4,1502,37.3,181,0
12,0,298.4,308.7,1588,35.0,99,0
13,0,302.0,311.2,1434,44.9,15,0
14,1,300.7,311.0,1334,53.9,150,0
15,0,301.7,310.5,1523,34.7,181,0
16,0,298.4,307.9,1544,35.9,132,0
17,0,300.8,311.1,1509,33.4,172,0
18,2,298.5,308.7,1450,43.9,28,0
19,0,302.5,311.9,1437,46.7,65,0
20,0,300.7,309.6,1500,44.1,122,0
21,0,300.8,311.9,1498,39.3,23,0
22,0,298.3,309.4,1468,46.2,10,0
23,0,302.7,310.5,1563,35.0,8,0
24,1,300.5,311.3,1507,43.4,41,0
25,1,299.1,308.7,2008,20.3,178,0
26,0,297.3,308.4,1488,37.4,69,0
27,0,298.5,308.4,1513,33.6,172,0
28,0,299.3,309.2,1465,41.5,127,0
29,1,300.7,309.6,1439,43.0,61,0
30,0,297.9,308.9,1566,41.9,50,0
31,1,297.9,309.0,2456,13.9,82,0
32,0,297.6,308.3,1410,47.0,191,0
33,0,296.5,307.6,1541,38.5,98,0
34,0,302.3,311.2,1549,40.6,66,0
35,1,304.2,313.5,1390,47.8,83,0
36,2,298.9,308.4,1449,42.4,149,0
37,1,302.3,311.8,1355,50.1,104,0
38,2,300.8,312.1,1527,35.1,164,0
39,2,303.0,312.5,1698,30.0,89,0
40,2,301.8,311.2,1451,39.4,70,0
41,1,302.4,311.1,1366,54.4,0,5
42,2,297.3,308.8,1564,38.0,191,0
43,0,302.1,310.8,1596,37.1,43,0
44,0,300.2,311.5,1639,31.1,31,0
45,0,300.5,309.8,1445,43.9,164,0
46,0,301.0,310.9,1813,28.5,197,0
47,0,300.2,310.0,1493,47.3,172,0
48,1,296.7,307.5,1515,42.1,55,0
49,0,302.2,311.6,1416,54.1,48,0
50,0,300.8,310.8,1741,27.1,39,0
51,1,302.0,310.5,1573,32.1,143,0
52,0,298.4,308.8,1458,40.1,111,0
53,1,297.5,308.4,1505,37.2,215,0
54,0,302.4,311.4,1475,40.4,126,0
55,0,303.9,313.4,1442,48.5,174,0
56,1,295.5,305.9,1453,47.3,9,0
57,0,298.9,308.5,1559,34.3,126,0
58,0,297.3,308.3,1550,37.0,54,0
59,0,301.5,310.5,1611,33.8,144,0
60,0,301.8,309.7,1598,30.4,124,0
